comb	times
ปด	5.0
ปต	6.0
ปถ	3.0
ปท	11.0
ปธ	0.0
ปน	7.0
ปบ	0.0
ปป	1.0
ปผ	0.0
ปฝ	0.0
ปพ	3.0
ปฟ	0.0
ปภ	0.0
ปม	3.0
ปย	5.0
ปร	164.0
ปฤ	0.0
ปล	22.0
ปว	7.0
ปศ	0.0
ปษ	0.0
ปส	20.0
ปห	3.0
ปอ	4.0
ปฮ	0.0
ปะ	0.0
ปั	16.0
ปา	13.0
ปำ	0.0
ปิ	9.0
ปี	16.0
ปึ	0.0
ปื	3.0
ปุ	0.0
ปู	0.0
ปเ	13.0
ปแ	11.0
ปโ	2.0
ปใ	2.0
ปไ	8.0
ปๆ	0.0
ป็	359.0
ป่	4.0
ป้	1.0
ป๋	0.0
ป์	0.0
ป‘	0.0
ป’	1.0
ป“	0.0
ป”	1.0
ผก	0.0
ผข	0.0
ผค	0.0
ผฆ	0.0
ผง	0.0
ผจ	0.0
ผฉ	0.0
ผช	0.0
ผซ	0.0
ผญ	0.0
ผฏ	0.0
ผฐ	0.0
ผณ	0.0
ผด	0.0
ผต	0.0
ผถ	0.0
ผท	0.0
ผธ	0.0
ผน	1.0
ผบ	0.0
ผป	0.0
ผผ	0.0
ผฝ	0.0
ผพ	0.0
ผฟ	0.0
ผภ	0.0
ผม	0.0
ผย	5.0
ผร	0.0
ผฤ	0.0
ผล	13.0
ผว	0.0
ผศ	0.0
ผษ	0.0
ผส	0.0
ผห	0.0
ผอ	0.0
ผฮ	0.0
ผะ	0.0
ผั	1.0
ผา	0.0
ผำ	0.0
ผิ	18.0
ผี	0.0
ผึ	0.0
ผื	0.0
ผุ	0.0
ผู	257.0
ผเ	0.0
ผแ	0.0
ผโ	0.0
ผใ	0.0
ผไ	0.0
ผๆ	0.0
ผ็	0.0
ผ่	8.0
ผ้	0.0
ผ๋	0.0
ผ์	0.0
ผ‘	0.0
ผ’	0.0
ผ“	0.0
ผ”	0.0
ฝก	0.0
ฝข	0.0
ฝค	0.0
ฝฆ	0.0
ฝง	0.0
ฝจ	0.0
ฝฉ	0.0
ฝช	0.0
